a (Bohr),a (Angstroms),V (Ang^3),V (meters^3),Total Energy (Ryd),Total Energy (eV),Total Energy (J)
6.65000000E+00,3.51918000E+00,1.08959337E+01,1.08959337E-29,-2.27579219E+01,-3.09637414E+02,-4.96039137E-17
6.66000000E+00,3.52447200E+00,1.09451622E+01,1.09451622E-29,-2.27582323E+01,-3.09641637E+02,-4.96045902E-17
6.67000000E+00,3.52976400E+00,1.09945388E+01,1.09945388E-29,-2.27584907E+01,-3.09645152E+02,-4.96051534E-17
6.68000000E+00,3.53505600E+00,1.10440637E+01,1.10440637E-29,-2.27586991E+01,-3.09647988E+02,-4.96056077E-17
6.69000000E+00,3.54034800E+00,1.10937371E+01,1.10937371E-29,-2.27588622E+01,-3.09650208E+02,-4.96059633E-17
6.70000000E+00,3.54564000E+00,1.11435592E+01,1.11435592E-29,-2.27589723E+01,-3.09651705E+02,-4.96062032E-17
6.71000000E+00,3.55093200E+00,1.11935302E+01,1.11935302E-29,-2.27590401E+01,-3.09652628E+02,-4.96063510E-17
6.72000000E+00,3.55622400E+00,1.12436504E+01,1.12436504E-29,-2.27590559E+01,-3.09652843E+02,-4.96063854E-17
6.73000000E+00,3.56151600E+00,1.12939200E+01,1.12939200E-29,-2.27590275E+01,-3.09652456E+02,-4.96063235E-17
6.74000000E+00,3.56680800E+00,1.13443392E+01,1.13443392E-29,-2.27589549E+01,-3.09651468E+02,-4.96061652E-17
6.75000000E+00,3.57210000E+00,1.13949083E+01,1.13949083E-29,-2.27588351E+01,-3.09649839E+02,-4.96059042E-17
6.76000000E+00,3.57739200E+00,1.14456274E+01,1.14456274E-29,-2.27586708E+01,-3.09647603E+02,-4.96055460E-17
6.77000000E+00,3.58268400E+00,1.14964968E+01,1.14964968E-29,-2.27584627E+01,-3.09644772E+02,-4.96050924E-17
6.78000000E+00,3.58797600E+00,1.15475166E+01,1.15475166E-29,-2.27582119E+01,-3.09641359E+02,-4.96045457E-17
6.79000000E+00,3.59326800E+00,1.15986872E+01,1.15986872E-29,-2.27579166E+01,-3.09637341E+02,-4.96039021E-17
6.80000000E+00,3.59856000E+00,1.16500088E+01,1.16500088E-29,-2.27575780E+01,-3.09632734E+02,-4.96031640E-17
6.81000000E+00,3.60385200E+00,1.17014815E+01,1.17014815E-29,-2.27571992E+01,-3.09627581E+02,-4.96023385E-17
6.82000000E+00,3.60914400E+00,1.17531056E+01,1.17531056E-29,-2.27567771E+01,-3.09621838E+02,-4.96014184E-17
6.83000000E+00,3.61443600E+00,1.18048813E+01,1.18048813E-29,-2.27563122E+01,-3.09615513E+02,-4.96004052E-17
6.84000000E+00,3.61972800E+00,1.18568089E+01,1.18568089E-29,-2.27558073E+01,-3.09608643E+02,-4.95993046E-17
6.85000000E+00,3.62502000E+00,1.19088885E+01,1.19088885E-29,-2.27552652E+01,-3.09601267E+02,-4.95981230E-17
6.00000000E+00,3.17520000E+00,8.00300828E+00,8.00300828E-30,-2.25990808E+01,-3.07476270E+02,-4.92576985E-17
6.10000000E+00,3.22812000E+00,8.40986492E+00,8.40986492E-30,-2.26452548E+01,-3.08104499E+02,-4.93583407E-17
6.20000000E+00,3.28104000E+00,8.83028221E+00,8.83028221E-30,-2.26822421E+01,-3.08607738E+02,-4.94389596E-17
6.30000000E+00,3.33396000E+00,9.26448246E+00,9.26448246E-30,-2.27109724E+01,-3.08998633E+02,-4.95015810E-17
6.40000000E+00,3.38688000E+00,9.71268798E+00,9.71268798E-30,-2.27322757E+01,-3.09288479E+02,-4.95480143E-17
6.50000000E+00,3.43980000E+00,1.01751211E+01,1.01751211E-29,-2.27469331E+01,-3.09487903E+02,-4.95799621E-17
6.60000000E+00,3.49272000E+00,1.06520040E+01,1.06520040E-29,-2.27556184E+01,-3.09606073E+02,-4.95988929E-17
6.70000000E+00,3.54564000E+00,1.11435592E+01,1.11435592E-29,-2.27589723E+01,-3.09651705E+02,-4.96062032E-17
6.80000000E+00,3.59856000E+00,1.16500088E+01,1.16500088E-29,-2.27575780E+01,-3.09632734E+02,-4.96031640E-17
6.90000000E+00,3.65148000E+00,1.21715752E+01,1.21715752E-29,-2.27519638E+01,-3.09556349E+02,-4.95909272E-17
7.00000000E+00,3.70440000E+00,1.27084807E+01,1.27084807E-29,-2.27426073E+01,-3.09429048E+02,-4.95705335E-17
7.10000000E+00,3.75732000E+00,1.32609477E+01,1.32609477E-29,-2.27299601E+01,-3.09256974E+02,-4.95429673E-17
7.20000000E+00,3.81024000E+00,1.38291983E+01,1.38291983E-29,-2.27144298E+01,-3.09045673E+02,-4.95091168E-17
7.30000000E+00,3.86316000E+00,1.44134550E+01,1.44134550E-29,-2.26963728E+01,-3.08799996E+02,-4.94697594E-17
7.40000000E+00,3.91608000E+00,1.50139399E+01,1.50139399E-29,-2.26761299E+01,-3.08524577E+02,-4.94256372E-17
